ID,Name,Watched,Rating
661,Fame,no,0
662,A Family Affair,no,0
663,Fancy Nancy,no,0
664,Fanny,no,0
665,The Fantasticks,no,0
666,Fellowship!,no,0
667,Fiddler on the Roof,no,0
668,The Fields of Ambrosia,no,0
669,Finding Nemo,no,0
670,Finding Neverland,no,0
671,Fings Ain't Wot They Used T'Be,no,0
672,Finian's Rainbow,no,0
673,Fiorello!,no,0
674,Firebringer,no,0
675,First Date,no,0
676,First Impressions,no,0
677,First Lady Suite,no,0
678,Five Guys Named Moe,no,0
679,The Five O'Clock Girl,no,0
680,The Fix,no,0
681,Flahooley,no,0
682,Flashdance,no,0
683,Flora the Red Menace,no,0
684,Florodora,no,0
685,Flower Drum Song,no,0
686,Floyd Collins,no,0
687,Flying High,no,0
688,Follies,no,0
689,Follow That Girl,no,0
690,Follow the Boys,no,0
691,Follow the Girls,no,0
692,Follow Thru,no,0
693,Footloose,no,0
694,Forbidden Broadway,no,0
695,Forbidden Zone,no,0
696,Forever Plaid,no,0
697,Fosse,no,0
698,The Four Musketeers,no,0
699,Foxes,no,0
700,Foxy,no,0
701,Frankenstein,no,0
702,Freaky Friday,no,0
703,Free as Air,no,0
704,Freestyle Love Supreme,no,0
705,Friends! The Musical Parody,no,0
706,The Frogs,no,0
707,From Generation to Generation,no,0
708,From Here to Eternity,no,0
709,From Justin to Kelly,no,0
710,Frozen,no,0
711,Frozen Fever,no,0
712,Full House! The Musical!,no,0
713,The Full Monty,no,0
714,Fun Home,no,0
715,Funny Face,no,0
716,Funny Girl,no,0
717,Funny Lady,no,0
718,A Funny Thing Happened on the Way to the Forum,no,0
719,Gay Divorce,no,0
720,The Gay Life,no,0
721,Gay Purr-ee,no,0
722,A Gentleman's Guide to Love and Murder,no,0
723,Gentlemen Prefer Blondes,no,0
724,George M!,no,0
725,Get Used to It!,no,0
726,Gettin' the Band Back Together,no,0
727,Ghost,no,0
728,Ghost Brothers of Darkland County,no,0
729,Gigi,no,0
730,The Girl Behind the Gun,no,0
731,Girl Crazy,no,0
732,The Girl in the Taxi,no,0
733,The Girl Who Came to Supper,no,0
734,The Girls,no,0
735,The Glorious Ones,no,0
736,Glory Days,no,0
737,Go into Your Dance,no,0
738,The Go-Between,no,0
739,Goblin Market,no,0
740,God Save Queen Pam,no,0
741,Godspell,no,0
742,The Golden Apple,no,0
743,Golden Boy,no,0
744,Golden Rainbow,no,0
745,Goldilocks,no,0
746,The Good Companions,no,0
747,Good News,no,0
748,Good Vibrations,no,0
749,The Goodbye Girl,no,0
750,Goodtime Charley,no,0
751,Goosebumps,no,0
752,The Gospel According to Tammy Faye,no,0
753,Grab Me a Gondola,no,0
754,Grand Hotel,no,0
755,A Grand Night for Singing,no,0
756,The Grand Tour,no,0
757,The Grass Harp,no,0
758,Grease,no,0
759,Grease 2,no,0
760,The Great American Trailer Park Musical,no,0
761,Great Lady,no,0
762,The Great Waltz,no,0
763,The Greatest Showman,no,0
764,A Greek Slave,no,0
765,Greenwillow,no,0
766,Grey Gardens,no,0
767,Grimm,no,0
768,Grind,no,0
769,Groundhog Day,no,0
770,The Guy Who Didn't Like Musicals,no,0
771,Guys and Dolls,no,0
772,Gypsy,no,0
773,Hadestown,no,0
774,Hair,no,0
775,Hairspray,no,0
776,Half a Sixpence,no,0
777,Hallelujah,no,0
778,Hamilton,no,0
779,Hamleton,no,0
780,Hands on a Hardbody,no,0
781,Hans Christian Andersen,no,0
782,The Happiest Girl in the World,no,0
783,The Happiest Millionaire,no,0
784,Happiness,no,0
785,Happy Days,no,0
786,Happy End,no,0
787,Happy Go Lovely,no,0
788,Happy Hunting,no,0
789,The Happy Time,no,0
790,A Hard Day's Night,no,0
791,Harmony,no,0
792,The Harvey Girls,no,0
793,A Hatful of Snow,no,0
794,The Hatpin,no,0
795,Hazel Flagg,no,0
796,Head Over Heels,no,0
797,The Heart of Rock & Roll,no,0
798,Heart and Souls,no,0
799,Heathers,no,0
800,Hedwig and the Angry Inch,no,0
801,Hello,no,0
802,Hellzapoppin,no,0
803,Help!,no,0
804,Henry,no,0
805,Her First Roman,no,0
806,Hercules,no,0
807,Here Comes the Groom,no,0
808,Here Lies Love,no,0
809,Here's Love,no,0
810,High Button Shoes,no,0
811,High Fidelity,no,0
812,High School Musical,no,0
813,High School Musical 2,no,0
